                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.82515,                0.52403,                0.89984,                0.85551,                0.91045,                0.95875,                0.72317,                0.59986,                0.62035,                0.64554,               0.001307,               0.001307,               0.001307
                     37,                0.81719,                0.50146,                0.93553,                0.87034,                0.91791,                0.96195,                0.72497,                0.59696,                0.51723,                0.63962,              0.0012872,              0.0012872,              0.0012872
                     38,                0.82315,                0.49663,                0.94025,                0.89722,                0.91204,                0.97083,                0.72054,                0.56554,                0.74472,                0.64058,              0.0012674,              0.0012674,              0.0012674
                     39,                0.77727,                0.47565,                0.89432,                0.89134,                0.94776,                 0.9766,                0.75425,                0.54167,                0.55877,                0.63416,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.8167,                0.48809,                0.89805,                0.92132,                 0.8739,                0.96758,                0.73514,                 0.6312,                0.47504,                0.64864,              0.0012278,              0.0012278,              0.0012278
                     41,                0.80787,                0.47988,                0.91917,                0.86131,                0.92537,                 0.9618,                0.72346,                0.62323,                0.91344,                0.64316,               0.001208,               0.001208,               0.001208
                     42,                0.85256,                0.50349,                0.94295,                0.91648,                0.90084,                0.97146,                0.73176,                0.64262,                0.50785,                0.65267,              0.0011882,              0.0011882,              0.0011882
                     43,                0.78924,                0.49911,                0.89917,                0.91902,                0.93163,                0.97312,                0.75122,                0.58038,                0.44986,                 0.6389,              0.0011684,              0.0011684,              0.0011684
                     44,                0.86424,                0.54624,                0.93754,                0.89679,                0.91791,                0.97199,                0.75004,                0.59528,                0.53055,                0.64185,              0.0011486,              0.0011486,              0.0011486
                     45,                0.80192,                0.47804,                0.90252,                0.90391,                 0.9403,                0.97742,                0.74118,                0.53995,                   1.28,                0.63234,              0.0011288,              0.0011288,              0.0011288
                     46,                0.79894,                0.47505,                0.90115,                0.93259,                0.90299,                0.97086,                0.72653,                0.59934,                0.69947,                0.63861,               0.001109,               0.001109,               0.001109
                     47,                0.83026,                0.50185,                0.91372,                0.87363,                0.94776,                 0.9722,                0.75113,                 0.5521,                0.63709,                0.63672,              0.0010892,              0.0010892,              0.0010892
                     48,                0.83566,                0.48676,                0.91453,                 0.9123,                0.93155,                0.97417,                0.74706,                0.56487,                0.46743,                0.63924,              0.0010694,              0.0010694,              0.0010694
                     49,                 0.8016,                0.47527,                0.90794,                0.84184,                0.99303,                0.96861,                0.74817,                0.50293,                0.49264,                0.62623,              0.0010496,              0.0010496,              0.0010496
                     50,                0.83281,                0.48279,                0.92822,                0.91446,                0.87313,                0.96676,                0.74857,                0.55372,                0.41417,                0.63171,              0.0010298,              0.0010298,              0.0010298
                     51,                0.78005,                0.46803,                0.88604,                0.89968,                0.91791,                0.97214,                0.73023,                0.51921,                0.99865,                0.62514,                0.00101,                0.00101,                0.00101
                     52,                0.76646,                 0.4535,                0.88287,                0.85954,                0.95899,                0.97282,                0.76821,                0.55416,                0.47325,                0.63336,              0.0009902,              0.0009902,              0.0009902
                     53,                 0.7791,                0.46885,                0.89829,                0.93468,                0.89552,                0.97404,                0.73708,                0.60096,                 0.3833,                0.63782,              0.0009704,              0.0009704,              0.0009704
                     54,                0.77804,                0.45582,                0.88663,                0.91314,                0.94151,                0.97332,                0.74441,                0.55539,                0.84186,                0.63025,              0.0009506,              0.0009506,              0.0009506
                     55,                0.76963,                0.46447,                0.87493,                0.88591,                0.95522,                0.97484,                0.76793,                0.56115,                0.47757,                0.63346,              0.0009308,              0.0009308,              0.0009308
                     56,                0.74638,                0.43896,                0.89594,                 0.8607,                 0.9683,                  0.971,                0.76007,                0.54562,                0.67411,                0.62828,               0.000911,               0.000911,               0.000911
                     57,                0.76547,                0.45868,                0.89959,                0.86509,                0.95522,                0.96074,                0.74589,                0.58628,                 0.5699,                0.63558,              0.0008912,              0.0008912,              0.0008912
                     58,                0.78629,                0.44437,                0.88666,                0.88576,                0.93284,                0.96534,                0.74304,                0.53684,                0.81518,                0.63144,              0.0008714,              0.0008714,              0.0008714
                     59,                0.74615,                0.41657,                0.86946,                 0.9335,                0.94285,                0.97585,                0.74498,                0.57211,                0.75049,                0.63672,              0.0008516,              0.0008516,              0.0008516
                     60,                0.73392,                 0.4212,                0.87583,                0.88814,                0.94801,                0.97463,                0.75745,                0.57061,                0.56444,                0.63287,              0.0008318,              0.0008318,              0.0008318
                     61,                0.74184,                0.43454,                0.89054,                 0.9209,                0.95567,                0.97901,                0.75772,                0.54562,                0.46656,                0.63217,               0.000812,               0.000812,               0.000812
                     62,                0.76906,                0.42781,                0.87513,                0.93131,                0.93284,                0.97467,                0.76305,                0.57292,                0.36547,                0.63197,              0.0007922,              0.0007922,              0.0007922
                     63,                0.73026,                0.52646,                0.87479,                0.91225,                 0.9403,                0.97277,                0.74631,                0.58395,                 0.3766,                0.64265,              0.0007724,              0.0007724,              0.0007724
                     64,                0.72533,                0.41218,                0.84477,                0.89406,                0.96269,                0.97348,                 0.7454,                0.57869,                0.41093,                0.63947,              0.0007526,              0.0007526,              0.0007526
                     65,                0.73097,                0.44832,                0.88823,                0.90207,                0.96241,                0.97497,                0.74138,                0.57937,                0.39982,                0.63912,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.7709,                 0.4738,                0.87178,                0.96825,                0.92537,                0.98072,                0.75871,                0.55828,                 0.5604,                 0.6325,               0.000713,               0.000713,               0.000713
                     67,                0.74682,                0.43054,                0.89405,                 0.9203,                0.94786,                0.98098,                 0.7354,                 0.6003,                 7.8815,                0.63664,              0.0006932,              0.0006932,              0.0006932
                     68,                0.72132,                0.41665,                0.87533,                0.92976,                0.94776,                0.98029,                0.71142,                0.62187,                 2.0773,                0.64671,              0.0006734,              0.0006734,              0.0006734
                     69,                0.73839,                0.42419,                0.87692,                0.91461,                0.93284,                0.97591,                0.75053,                 0.6065,                0.47839,                0.64458,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.6877,                 0.3945,                0.85426,                0.91297,                 0.9403,                0.97457,                0.75255,                0.56158,                0.42399,                 0.6331,              0.0006338,              0.0006338,              0.0006338
                     71,                 0.7373,                0.58923,                0.87679,                0.88642,                0.93191,                0.96471,                0.74954,                0.55671,                0.58375,                0.63484,               0.000614,               0.000614,               0.000614
                     72,                0.71608,                 0.3904,                0.86313,                0.91184,                0.92624,                0.97902,                0.77116,                 0.5309,                 0.6386,                0.63471,              0.0005942,              0.0005942,              0.0005942
                     73,                0.71438,                0.39905,                0.87652,                0.90828,                 0.9403,                0.97545,                0.75389,                0.55439,                0.36502,                0.63602,              0.0005744,              0.0005744,              0.0005744
                     74,                0.71055,                 0.4155,                0.86761,                0.93676,                0.91045,                 0.9747,                0.73749,                0.57909,                0.59724,                0.63593,              0.0005546,              0.0005546,              0.0005546
                     75,                0.74234,                0.43144,                0.88125,                  0.935,                0.93284,                0.97849,                0.74663,                0.54008,                0.39748,                0.63196,              0.0005348,              0.0005348,              0.0005348
                     76,                0.76265,                0.42004,                0.95781,                0.90559,                0.93055,                0.97037,                0.73963,                0.60372,                0.48668,                0.64391,               0.000515,               0.000515,               0.000515
                     77,                0.71535,                0.40306,                0.87719,                0.93448,                 0.9403,                0.97704,                0.76308,                0.53524,                0.43663,                0.63101,              0.0004952,              0.0004952,              0.0004952
                     78,                0.68455,                0.39817,                0.88463,                0.90544,                0.94776,                0.97734,                0.76277,                0.56943,                0.44246,                0.63447,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.6825,                0.41921,                0.86054,                0.94605,                0.91614,                0.97489,                0.74466,                0.59351,                0.55125,                0.64343,              0.0004556,              0.0004556,              0.0004556
                     80,                0.71101,                0.40334,                0.89049,                0.94585,                0.91791,                0.97914,                0.75782,                0.63263,                0.46718,                0.64746,              0.0004358,              0.0004358,              0.0004358
                     81,                0.66716,                0.39222,                0.85128,                0.94662,                0.92639,                0.98196,                0.77083,                0.57091,                 0.4301,                0.63565,               0.000416,               0.000416,               0.000416
